aaa_base.x86_64                                   84.87+git20240202.9526d46-1.1 @System
openSUSE-release-appliance-docker.x86_64          20240226-2767.1               @System
openssh-common.x86_64                             9.3p2-5.3                     @System
openssh-fips.x86_64                               9.3p2-5.3                     @System
openssh-server.x86_64                             9.3p2-5.3                     @System
openssl.noarch                                    3.1.4-2.2                     @System
openssl-3.x86_64                                  3.1.4-4.1                     @System
osc.noarch                                        1.6.0-1.2                     @System
p11-kit.x86_64                                    0.25.3-1.2                    @System
p11-kit-tools.x86_64                              0.25.3-1.2                    @System
pam.x86_64                                        1.6.0-4.1                     @System
pam-config.x86_64                                 2.11-1.1                      @System
patterns-base-fips.x86_64                         20200505-47.1                 @System
patterns-base-minimal_base.x86_64                 20200505-47.1                 @System
perl.x86_64                                       5.38.2-1.2                    @System
perl-Bootloader.x86_64                            1.12-1.1                      @System
perl-Error.noarch                                 0.17029-1.18                  @System
perl-Git.x86_64                                   2.43.2-1.2                    @System
perl-base.x86_64                                  5.38.2-1.2                    @System
permissions.x86_64                                1699_20240206-1.1             @System
permissions-config.noarch                         1699_20240206-1.1             @System
pigz.x86_64                                       2.8-2.2                       @System
pinentry.x86_64                                   1.2.1-3.4                     @System
pkgconf.x86_64                                    2.1.1-1.1                     @System
pkgconf-m4.noarch                                 2.1.1-1.1                     @System
pkgconf-pkg-config.x86_64                         2.1.1-1.1                     @System
procps.x86_64                                     3.3.17-16.2                   @System
pv.x86_64                                         1.8.5-1.1                     @System
python3-dnf.noarch                                4.18.0-4.2                    @System
python3-hawkey.x86_64                             0.73.0-1.1                    @System
python3-kiwi.x86_64                               9.25.19-2.2                   @System
python3-libcomps.x86_64                           0.1.20-2.2                    @System
python3-libdnf.x86_64                             0.73.0-1.1                    @System
python3-libmodulemd.x86_64                        2.15.0-1.3                    @System
python311.x86_64                                  3.11.8-2.1                    @System
python311-PyYAML.x86_64                           6.0.1-2.4                     @System
python311-apipkg.noarch                           3.0.2-1.4                     @System
python311-base.x86_64                             3.11.8-2.1                    @System
python311-certifi.noarch                          2023.11.17-1.4                @System
python311-cffi.x86_64                             1.16.0-1.4                    @System
python311-charset-normalizer.noarch               3.3.2-1.4                     @System
python311-cryptography.x86_64                     42.0.4-1.1                    @System
python311-cssselect.noarch                        1.2.0-2.7                     @System
python311-curses.x86_64                           3.11.8-2.1                    @System
python311-docopt.noarch                           0.6.2-9.4                     @System
python311-gobject.x86_64                          3.46.0-1.5                    @System
python311-gpg.x86_64                              1.23.2-4.1                    @System
python311-idna.noarch                             3.6-1.4                       @System
python311-iniconfig.noarch                        2.0.0-4.4                     @System
python311-lxml.x86_64                             5.1.0-3.1                     @System
python311-py.noarch                               1.11.0-6.4                    @System
python311-pyOpenSSL.noarch                        24.0.0-1.4                    @System
python311-pycparser.noarch                        2.21-2.6                      @System
python311-requests.noarch                         2.31.0-2.4                    @System
python311-rpm.x86_64                              4.19.1.1-2.1                  @System
python311-setuptools.noarch                       69.0.3-1.3                    @System
python311-simplejson.x86_64                       3.19.2-1.4                    @System
python311-six.noarch                              1.16.0-4.4                    @System
python311-urllib3.noarch                          2.1.0-2.4                     @System
python311-xmltodict.noarch                        0.13.0-3.1                    @System
qemu.x86_64                                       8.2.1-2.1                     @System
qemu-accel-tcg-x86.x86_64                         8.2.1-2.1                     @System
qemu-img.x86_64                                   8.2.1-2.1                     @System
qemu-ipxe.noarch                                  8.2.1-2.1                     @System
qemu-ovmf-x86_64.noarch                           202308-3.5                    @System
qemu-seabios.noarch                               8.2.11.16.3_3_ga95067eb-2.1   @System
qemu-vgabios.noarch                               8.2.11.16.3_3_ga95067eb-2.1   @System
qemu-x86.x86_64                                   8.2.1-2.1                     @System
rdma-core.x86_64                                  49.1-2.1                      @System
rpcbind.x86_64                                    1.2.6-5.4                     @System
rpm.x86_64                                        4.19.1.1-2.1                  @System
rpm-config-SUSE.noarch                            20240214-1.1                  @System
rsync.x86_64                                      3.2.7-6.2                     @System
screen.x86_64                                     4.9.1-1.4                     @System
sed.x86_64                                        4.9-2.5                       @System
shadow.x86_64                                     4.14.5-1.1                    @System
shared-mime-info.x86_64                           2.4-2.1                       @System
snapper.x86_64                                    0.10.7-1.3                    @System
squashfs.x86_64                                   4.6.1-2.3                     @System
sudo.x86_64                                       1.9.15p5-1.2                  @System
suse-module-tools.x86_64                          16.0.43-1.1                   @System
system-group-hardware.noarch                      20170617-25.3                 @System
system-group-kvm.noarch                           20170617-25.3                 @System
system-user-lp.noarch                             20170617-25.3                 @System
system-user-qemu.noarch                           20170617-25.3                 @System
system-user-root.noarch                           20190513-2.15                 @System
systemd.x86_64                                    254.9-2.1                     @System
systemd-default-settings.noarch                   0.8-1.2                       @System
systemd-default-settings-branding-openSUSE.noarch 0.8-1.2                       @System
systemd-presets-branding-openSUSE.noarch          12.2-23.2                     @System
systemd-presets-common-SUSE.noarch                15-32.1                       @System
systemd-rpm-macros.noarch                         24-1.5                        @System
sysuser-shadow.noarch                             3.2-2.2                       @System
tar.x86_64                                        1.35-1.2                      @System
terminfo-base.x86_64                              6.4.20240210-31.1             @System
thin-provisioning-tools.x86_64                    1.0.11-1.1                    @System
timezone.x86_64                                   2024a-1.1                     @System
tukit.x86_64                                      4.5.0-2.3                     @System
typelib-1_0-Modulemd-2_0.x86_64                   2.15.0-1.3                    @System
udev.x86_64                                       254.9-2.1                     @System
update-alternatives.x86_64                        1.22.2-1.2                    @System
util-linux.x86_64                                 2.39.3-4.1                    @System
util-linux-systemd.x86_64                         2.39.3-4.2                    @System
which.x86_64                                      2.21-5.13                     @System
xen-libs.x86_64                                   4.18.0_06-1.2                 @System
xfsprogs.x86_64                                   6.6.0-1.1                     @System
xorriso.x86_64                                    1.5.6-1.2                     @System
xz.x86_64                                         5.4.6-1.2                     @System
zstd.x86_64                                       1.5.5-5.2                     @System
zypper.x86_64                                     1.14.68-1.4                   @System
